DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2021-07-09                02:24:30.240              189.14201667              4539.408400               1625797470.240            4                         899                       1.9514029713E+00          1.9564742069E+00          4.6533568508E+02          4.6654031091E+02          2.3780071671E-01          7.0316322943E+02          3.9431419373E+01          -2.0133061409E+00         3.9130157471E+01          1.5079728127E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:31.177              189.14202751              4539.408660               1625797471.177            4                         899                       1.9514029713E+00          1.9564742069E+00          4.6541318895E+02          4.6661801542E+02          2.3780071671E-01          7.0314603854E+02          3.9431419373E+01          -1.9030999506E+00         3.9232407071E+01          1.5079694817E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:32.102              189.14203823              4539.408917               1625797472.103            4                         899                       1.9537895947E+00          1.9588632954E+00          4.6541318895E+02          4.6661712864E+02          2.3762614125E-01          7.0312338883E+02          3.9431419373E+01          -1.7447432280E+00         3.9379184723E+01          1.5079008102E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:33.104              189.14204981              4539.409196               1625797473.104            4                         899                       1.9537895947E+00          1.9588632954E+00          4.6551506378E+02          4.6671926699E+02          2.3762614125E-01          7.0316594691E+02          3.9431419373E+01          -1.7464247705E+00         3.9359394478E+01          1.5079895285E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:34.203              189.14206255              4539.409501               1625797474.204            4                         899                       1.9500907615E+00          1.9551744108E+00          4.6551506378E+02          4.6672391673E+02          2.3854129917E-01          7.0315986967E+02          3.9431419373E+01          -1.7659026384E+00         3.9130157471E+01          1.5090171814E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:35.306              189.14207531              4539.409807               1625797475.307            4                         899                       1.9500796352E+00          1.9551632426E+00          4.6515529686E+02          4.6636321249E+02          2.3854069419E-01          7.0314835464E+02          3.9430774663E+01          -1.9225778090E+00         3.9253846503E+01          1.5085974163E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:36.420              189.14208819              4539.410117               1625797476.420            4                         899                       1.9525896061E+00          1.9575759128E+00          4.6515519614E+02          4.6633846915E+02          2.3368663779E-01          7.0315906408E+02          3.9430747986E+01          -1.7349772453E+00         3.9379184723E+01          1.5074326515E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:37.395              189.14209949              4539.410388               1625797477.396            4                         899                       1.9525896061E+00          1.9575759128E+00          4.6508787445E+02          4.6627097621E+02          2.3368663779E-01          7.0317977157E+02          3.9430747986E+01          -1.8921589946E+00         3.9379184723E+01          1.5049643365E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:38.430              189.14211147              4539.410675               1625797478.431            4                         899                       1.9534267612E+00          1.9585797374E+00          4.6508787445E+02          4.6630999754E+02          2.4137394323E-01          7.0319002386E+02          3.9430747986E+01          -2.2721568275E+00         3.9379184723E+01          1.4994274367E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-09                02:24:39.434              189.14212309              4539.410954               1625797479.435            4                         899                       1.9534273376E+00          1.9585803161E+00          4.6563832644E+02          4.6686189613E+02          2.4137397489E-01          7.0318951982E+02          3.9430781333E+01          -2.3207062404E+00         3.9354446916E+01          1.5008115800E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
