DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2021-07-12                01:29:30.404              192.10382413              4610.491779               1626053370.405            4                         899                       1.9320962878E+00          1.9749648091E+00          4.3147182816E+02          4.4100743627E+02          1.9913731356E+00          7.0307362578E+02          3.8551750183E+01          -2.0890620071E+00         3.8881130219E+01          1.5028689713E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:31.420              192.10383588              4610.492061               1626053371.420            4                         899                       1.9320962878E+00          1.9749648091E+00          4.3206265454E+02          4.4161132001E+02          1.9913731356E+00          7.0304053907E+02          3.8551750183E+01          -2.3071245468E+00         3.8881130219E+01          1.4933324365E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:32.467              192.10384801              4610.492352               1626053372.468            4                         899                       1.9310040811E+00          1.9754361637E+00          4.3206265454E+02          4.4196515891E+02          2.0635128184E+00          7.0302882517E+02          3.8551750183E+01          -2.4872551643E+00         3.8881130219E+01          1.4940130947E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:33.414              192.10385896              4610.492615               1626053373.414            4                         899                       1.9310040811E+00          1.9754361637E+00          4.3184682887E+02          4.4174438670E+02          2.0635128184E+00          7.0307270136E+02          3.8551750183E+01          -1.9488358687E+00         3.8881130219E+01          1.5064327063E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:34.378              192.10387013              4610.492883               1626053374.379            4                         899                       1.9276308358E+00          1.9725250811E+00          4.3184668971E+02          4.4186468382E+02          2.0880535998E+00          7.0309534379E+02          3.8551710571E+01          -2.1047888371E+00         3.8881130219E+01          1.5061403275E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:35.380              192.10388171              4610.493161               1626053375.380            4                         899                       1.9276278609E+00          1.9725220055E+00          4.3251908925E+02          4.4255267468E+02          2.0880521724E+00          7.0306224939E+02          3.8551536560E+01          -1.9724315397E+00         3.8881130219E+01          1.5063048363E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:36.426              192.10389382              4610.493452               1626053376.426            4                         899                       1.9301416313E+00          1.9743632896E+00          4.3251908925E+02          4.4238952050E+02          2.0548563168E+00          7.0309586319E+02          3.8551536560E+01          -1.7561367750E+00         3.8881130219E+01          1.5062442780E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:37.450              192.10390567              4610.493736               1626053377.450            4                         899                       1.9301416313E+00          1.9743632896E+00          4.3210395571E+02          4.4196491328E+02          2.0548563168E+00          7.0309391128E+02          3.8551536560E+01          -2.2498656432E+00         3.8881130219E+01          1.5037821991E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:38.404              192.10391671              4610.494001               1626053378.404            4                         899                       1.9297524737E+00          1.9735103860E+00          4.3210395571E+02          4.4186347944E+02          2.0341860844E+00          7.0310242629E+02          3.8551536560E+01          -1.8327119121E+00         3.8881130219E+01          1.5049166799E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:39.381              192.10392803              4610.494273               1626053379.382            4                         899                       1.9297521831E+00          1.9735100858E+00          4.3210265206E+02          4.4186214568E+02          2.0341859488E+00          7.0308813436E+02          3.8551519583E+01          -1.9743501785E+00         3.8881130219E+01          1.5016512864E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:40.377              192.10393955              4610.494549               1626053380.377            4                         899                       1.9291987226E+00          1.9726333948E+00          4.3210196081E+02          4.4179213278E+02          2.0200572090E+00          7.0308480491E+02          3.8551322937E+01          -1.7870621681E+00         3.8881130219E+01          1.5055960655E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:41.388              192.10395126              4610.494830               1626053381.389            4                         899                       1.9291987226E+00          1.9726333948E+00          4.3269478809E+02          4.4239825460E+02          2.0200572090E+00          7.0307419854E+02          3.8551322937E+01          -2.1051768972E+00         3.8881130219E+01          1.5060623403E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:42.384              192.10396278              4610.495107               1626053382.384            4                         899                       1.9286665812E+00          1.9729458669E+00          4.3269478809E+02          4.4258965680E+02          2.0590122872E+00          7.0309503659E+02          3.8551322937E+01          -2.1197071865E+00         3.8881130219E+01          1.5068340990E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:43.426              192.10397484              4610.495396               1626053383.426            4                         899                       1.9286665812E+00          1.9729458669E+00          4.3264211066E+02          4.4253577474E+02          2.0590122872E+00          7.0312035486E+02          3.8551322937E+01          -1.7709257871E+00         3.8881130219E+01          1.5057878621E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:44.467              192.10398690              4610.495686               1626053384.468            4                         899                       1.9294504247E+00          1.9733842790E+00          4.3264121442E+02          4.4245369493E+02          2.0424956655E+00          7.0304614419E+02          3.8551068287E+01          -2.0845024191E+00         3.8881130219E+01          1.5059893526E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:45.453              192.10399830              4610.495959               1626053385.453            4                         899                       1.9294453824E+00          1.9733790698E+00          4.3180988678E+02          4.4160350084E+02          2.0424933011E+00          7.0306291108E+02          3.8550773621E+01          -1.9233431342E+00         3.8881130219E+01          1.5055748592E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:46.464              192.10401001              4610.496240               1626053386.465            4                         899                       1.9292882064E+00          1.9730162408E+00          4.3180988678E+02          4.4155845512E+02          2.0333062614E+00          7.0306342765E+02          3.8550773621E+01          -1.7714539624E+00         3.8881130219E+01          1.5064026612E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:47.482              192.10402178              4610.496523               1626053387.482            4                         899                       1.9292882064E+00          1.9730162408E+00          4.3147923152E+02          4.4122033497E+02          2.0333062614E+00          7.0305578856E+02          3.8550773621E+01          -1.9168217451E+00         3.8881130219E+01          1.5067629757E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:48.473              192.10403325              4610.496798               1626053388.473            4                         899                       1.9298198216E+00          1.9746367397E+00          4.3147923152E+02          4.4146012914E+02          2.0822279784E+00          7.0304528809E+02          3.8550773621E+01          -2.3481607232E+00         3.8881130219E+01          1.5020939202E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:49.443              192.10404448              4610.497068               1626053389.443            4                         899                       1.9298187078E+00          1.9746355883E+00          4.3245870657E+02          4.4246225861E+02          2.0822274460E+00          7.0305140656E+02          3.8550708543E+01          -2.1799303048E+00         3.8881130219E+01          1.5007283527E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:50.430              192.10405591              4610.497342               1626053390.431            4                         899                       1.9307252331E+00          1.9750102016E+00          4.3245818398E+02          4.4233836601E+02          2.0571241330E+00          7.0305417780E+02          3.8550559998E+01          -1.9286680222E+00         3.8881130219E+01          1.5046598434E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:51.447              192.10406767              4610.497624               1626053391.447            4                         899                       1.9307252331E+00          1.9750102016E+00          4.3246770446E+02          4.4234810399E+02          2.0571241330E+00          7.0306593616E+02          3.8550559998E+01          -1.9748675460E+00         3.8881130219E+01          1.5067537118E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:52.515              192.10408003              4610.497921               1626053392.515            4                         899                       1.9295139351E+00          1.9741183836E+00          4.3246770446E+02          4.4242562353E+02          2.0729006307E+00          7.0306297616E+02          3.8550559998E+01          -1.8332724840E+00         3.8881130219E+01          1.5067749383E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:53.538              192.10409188              4610.498205               1626053393.538            4                         899                       1.9295139351E+00          1.9741183836E+00          4.3198850344E+02          4.4193538853E+02          2.0729006307E+00          7.0308295890E+02          3.8550559998E+01          -2.1011562300E+00         3.8881130219E+01          1.5059871642E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:54.559              192.10410369              4610.498489               1626053394.559            4                         899                       1.9313223959E+00          1.9757157639E+00          4.3198848356E+02          4.4187903174E+02          2.0614230692E+00          7.0308412706E+02          3.8550554339E+01          -2.1843283050E+00         3.8881130219E+01          1.5036156768E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:55.566              192.10411536              4610.498769               1626053395.567            4                         899                       1.9313214474E+00          1.9757147837E+00          4.3221636599E+02          4.4211212942E+02          2.0614226208E+00          7.0305434190E+02          3.8550498962E+01          -2.1807603852E+00         3.8881130219E+01          1.5021685764E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:56.549              192.10412674              4610.499042               1626053396.550            4                         899                       1.9293064338E+00          1.9738519463E+00          4.3221636599E+02          4.4215641801E+02          2.0704411324E+00          7.0304988876E+02          3.8550498962E+01          -2.2278653446E+00         3.8881130219E+01          1.5032303040E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:57.535              192.10413814              4610.499315               1626053397.535            4                         899                       1.9293064338E+00          1.9738519463E+00          4.3193941282E+02          4.4187309552E+02          2.0704411324E+00          7.0306060589E+02          3.8550498962E+01          -1.8048909587E+00         3.8881130219E+01          1.5024318853E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:58.529              192.10414965              4610.499592               1626053398.530            4                         899                       1.9308711079E+00          1.9740538180E+00          4.3193941282E+02          4.4156141299E+02          2.0068938802E+00          7.0305697531E+02          3.8550498962E+01          -2.0010393897E+00         3.8881130219E+01          1.5019417984E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:29:59.497              192.10416086              4610.499861               1626053399.498            4                         899                       1.9308703292E+00          1.9740530140E+00          4.3185712199E+02          4.4147728727E+02          2.0068935217E+00          7.0306692848E+02          3.8550453489E+01          -1.9076271081E+00         3.8881130219E+01          1.5067663433E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-12                01:30:00.506              192.10417253              4610.500141               1626053400.507            4                         899                       1.9305474563E+00          1.9754310689E+00          4.3185696011E+02          4.4185768965E+02          2.0844881370E+00          7.0303284096E+02          3.8550407410E+01          -1.8612982935E+00         3.8881130219E+01          1.5068798381E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
