DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               InletValve                OutletValve               solenoid_valves           NH3_Raw                   NH3_30s                   NH3_2min                  NH3_5min                  H2O                       NH3_dry                   NH3_uncorrected           NH3_broadeningCorrected   peak15                    
2021-07-12                20:23:59.470              192.89166054              4629.399853               193.89166054              1626121439.471            0                         963                       1.3999939521E+02          4.4999088646E+01          4.2937500000E+01          4.4973575950E+01          4.4999522805E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6825399160E+04          2.0000000000E+00          1.2897692003E+00          1.3061220537E+00          1.2764070740E+00          1.2632030364E+00          2.0362396684E-01          1.2897692003E+00          1.2477781585E+00          1.2871429211E+00          1.3138455523E+01          
2021-07-12                20:24:01.275              192.89168142              4629.400354               193.89168142              1626121441.275            0                         963                       1.4003651083E+02          4.4999137878E+01          4.2935428177E+01          4.4973625183E+01          4.4999473572E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6834808464E+04          2.0000000000E+00          1.2534845459E+00          1.3030257298E+00          1.2778243035E+00          1.2631422958E+00          2.0362396684E-01          1.2534845459E+00          1.2116953317E+00          1.2509321510E+00          1.3138455523E+01          
2021-07-12                20:24:03.068              192.89170218              4629.400852               193.89170218              1626121443.068            0                         963                       1.4006070385E+02          4.4999137878E+01          4.2875000000E+01          4.4973625183E+01          4.4999473572E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6847325427E+04          2.0000000000E+00          1.1033917188E+00          1.2809737239E+00          1.2716681179E+00          1.2635077259E+00          2.0362396684E-01          1.1033917188E+00          1.0624373718E+00          1.1011449488E+00          1.3138455523E+01          
2021-07-12                20:24:04.855              192.89172286              4629.401349               193.89172286              1626121444.855            0                         963                       1.3996690491E+02          4.4999123125E+01          4.2894509669E+01          4.4973639936E+01          4.4999458819E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6832084599E+04          2.0000000000E+00          1.2663689116E+00          1.2798727638E+00          1.2740823756E+00          1.2633251340E+00          2.0362396684E-01          1.2663689116E+00          1.2245080301E+00          1.2637902810E+00          1.3138455523E+01          
2021-07-12                20:24:06.644              192.89174356              4629.401846               193.89174356              1626121446.644            0                         963                       1.4005565159E+02          4.4999107361E+01          4.2894854972E+01          4.4973655701E+01          4.4999443054E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6836812371E+04          2.0000000000E+00          1.1334061289E+00          1.2697331487E+00          1.2696632909E+00          1.2619903080E+00          2.0362396684E-01          1.1334061289E+00          1.0922848316E+00          1.1310982423E+00          1.3138455523E+01          
2021-07-12                20:24:08.447              192.89176444              4629.402347               193.89176444              1626121448.448            0                         963                       1.4006980972E+02          4.4999107361E+01          4.2916954420E+01          4.4973655701E+01          4.4999443054E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6860723735E+04          2.0000000000E+00          1.4694287476E+00          1.2858292217E+00          1.2727366056E+00          1.2640623737E+00          2.0362396684E-01          1.4694287476E+00          1.4264383783E+00          1.4664366385E+00          1.3138455523E+01          
2021-07-12                20:24:10.262              192.89178544              4629.402851               193.89178544              1626121450.262            0                         963                       1.3994114280E+02          4.4999205152E+01          4.2893991713E+01          4.4973655701E+01          4.4999462612E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6839983080E+04          2.0000000000E+00          1.4114840772E+00          1.2873995646E+00          1.2744552624E+00          1.2658010118E+00          2.0362396684E-01          1.4114840772E+00          1.3688160158E+00          1.4086099573E+00          1.3138455523E+01          
2021-07-12                20:24:11.713              192.89180225              4629.403254               193.89180225              1626121451.714            0                         963                       1.3993361645E+02          4.4999259949E+01          4.2875000000E+01          4.4973655701E+01          4.4999473572E+01          2.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6831278247E+04          2.0000000000E+00          1.4114840772E+00          1.2873995646E+00          1.2744552624E+00          1.2658010118E+00          2.0162324788E-01          1.4114840772E+00          1.3688160158E+00          1.4086099573E+00          1.3010655677E+01          
2021-07-12                20:24:13.114              192.89181845              4629.403643               193.89181845              1626121453.114            0                         963                       1.4003946121E+02          4.4999259949E+01          4.2875000000E+01          4.4973655701E+01          4.4999473572E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6848135650E+04          2.0000000000E+00          1.1138901025E+00          1.2818798826E+00          1.2725068453E+00          1.2643105737E+00          2.0162324788E-01          1.1138901025E+00          1.0732767757E+00          1.1116442411E+00          1.3010655677E+01          
2021-07-12                20:24:14.921              192.89183936              4629.404145               193.89183936              1626121454.921            0                         963                       1.3997516122E+02          4.4999259949E+01          4.2894164365E+01          4.4973655701E+01          4.4999503078E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6841990407E+04          2.0000000000E+00          1.1498300970E+00          1.2742542012E+00          1.2705900211E+00          1.2635905707E+00          2.0162324788E-01          1.1498300970E+00          1.1090188197E+00          1.1475117722E+00          1.3010655677E+01          
2021-07-12                20:24:16.717              192.89186016              4629.404644               193.89186016              1626121456.718            0                         963                       1.3998989194E+02          4.4999259949E+01          4.2925759669E+01          4.4973655701E+01          4.4999534607E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6835508039E+04          2.0000000000E+00          1.2121266458E+00          1.2771543732E+00          1.2688813270E+00          1.2617511730E+00          2.0162324788E-01          1.2121266458E+00          1.1709722513E+00          1.2096827167E+00          1.3010655677E+01          
2021-07-12                20:24:18.516              192.89188097              4629.405143               193.89188097              1626121458.516            0                         963                       1.3995906354E+02          4.4999259949E+01          4.2902796961E+01          4.4973655701E+01          4.4999534607E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6827056133E+04          2.0000000000E+00          1.1762883005E+00          1.2633226883E+00          1.2658700291E+00          1.2605711970E+00          2.0162324788E-01          1.1762883005E+00          1.1353312966E+00          1.1739166299E+00          1.3010655677E+01          
2021-07-12                20:24:20.305              192.89190169              4629.405641               193.89190169              1626121460.306            0                         963                       1.4007462319E+02          4.4999603904E+01          4.2894164365E+01          4.4973569712E+01          4.4999448618E+01          4.0000000000E+00          0.0000000000E+00          5.0000000000E+04          4.6843724879E+04          2.0000000000E+00          1.3271990064E+00          1.2625501448E+00          1.2656080503E+00          1.2616103315E+00          2.0162324788E-01          1.3271990064E+00          1.2854108157E+00          1.3245230646E+00          1.3010655677E+01          
