DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2021-07-07                21:22:28.201              187.93227086              4510.374501               1625692948.202            4                         899                       1.9398538244E+00          1.9453004907E+00          4.5806754508E+02          4.5934872441E+02          2.5687247595E-01          7.0424728333E+02          3.9602226257E+01          -1.9506036833E+00         3.9628211975E+01          1.5070627427E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:29.259              187.93228310              4510.374794               1625692949.260            4                         899                       1.9423436611E+00          1.9477607995E+00          4.5806754508E+02          4.5934014546E+02          2.5515719003E-01          7.0427519822E+02          3.9602226257E+01          -1.9070450494E+00         3.9628211975E+01          1.5047833752E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:30.266              187.93229475              4510.375074               1625692950.266            4                         899                       1.9423394973E+00          1.9477566189E+00          4.5809093320E+02          4.5936359735E+02          2.5515694673E-01          7.0426829963E+02          3.9601983936E+01          -1.8824470304E+00         3.9628211975E+01          1.5030855754E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:31.321              187.93230696              4510.375367               1625692951.321            4                         899                       1.9401044290E+00          1.9455304050E+00          4.5809058609E+02          4.5936679798E+02          2.5586645198E-01          7.0418441712E+02          3.9601890564E+01          -1.8633140097E+00         3.9646353033E+01          1.5036355328E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:32.417              187.93231964              4510.375671               1625692952.417            4                         899                       1.9401044290E+00          1.9455304050E+00          4.5791121849E+02          4.5918693068E+02          2.5586645198E-01          7.0419931010E+02          3.9601890564E+01          -2.2691387909E+00         3.9877239227E+01          1.4964842582E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:33.450              187.93233161              4510.375959               1625692953.451            4                         899                       1.9419409038E+00          1.9473461813E+00          4.5791121849E+02          4.5918086246E+02          2.5465273057E-01          7.0431204527E+02          3.9601890564E+01          -2.5536870956E+00         3.9877239227E+01          1.4959090233E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:34.474              187.93234346              4510.376243               1625692954.475            4                         899                       1.9419319356E+00          1.9473371770E+00          4.5807092793E+02          4.5934101210E+02          2.5465220748E-01          7.0425210632E+02          3.9601368531E+01          -2.1961854246E+00         3.9877239227E+01          1.5046858124E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:35.528              187.93235565              4510.376536               1625692955.528            4                         899                       1.9418168382E+00          1.9470757400E+00          4.5807048616E+02          4.5930625691E+02          2.4779110395E-01          7.0421265174E+02          3.9601249695E+01          -2.0535231971E+00         3.9877239227E+01          1.5063294499E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:36.540              187.93236737              4510.376817               1625692956.541            4                         899                       1.9418168382E+00          1.9470757400E+00          4.5907287007E+02          4.6031134502E+02          2.4779110395E-01          7.0419878625E+02          3.9601249695E+01          -1.7875041599E+00         3.9877239227E+01          1.5060155698E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2021-07-07                21:22:37.565              187.93237922              4510.377101               1625692957.565            4                         899                       1.9398699004E+00          1.9452368132E+00          4.5907287007E+02          4.6033804995E+02          2.5311947691E-01          7.0426184082E+02          3.9601249695E+01          -2.2433011058E+00         3.9877239227E+01          1.4998598048E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
